803239820-00;Athos Q Velit 
882357738-00;Guilherme P Costa
424399177-00;Daniela L Souza 
212271186-00;Luiz Henrique N Souza 
564931500-00;Joao Victor R Pacheco 
261903016-00;Breno B Carvalho
209905680-00;Luiz Henrique I Bertolini
278179841-00;Victor Henrique K Furtado 
747665555-00;Isadora P Barbosa 
874266199-00;Joao Victor Q Furtado 
146506358-00;Pedro P Santos
609213694-00;Patryck A de Jesus
353862288-00;Matheus B Guimarães
193579601-00;Guilherme A Freire
325726277-00;Wernen J da Silva
161211043-00;Ítalo Y Barros
774978375-00;Patryck Z Heredia 
858118599-00;Yuske N Carvalho
709693925-00;Nicole A Freire
562201475-00;Nicole H Candido
798577522-00;Rodrigo R Santos
144130462-00;Yuske N de Paiva
224130282-00;Ana Luiza K Villani
283396365-00;Ítalo Q Silvino 
554239413-00;Mariana Z Rodrigues 
135877832-00;Patryck Q Sathler
775663360-00;Pedro Q Pacheco 
110772249-00;Caio R de Paiva
511303739-00;Luciano A Miranda
109598025-00;Norton D Abdalla
427482250-00;Pedro K de Paula
471674174-00;Breno T Freire
354816044-00;Douglas Y Rodrigues 
333264655-00;Victor Hugo D Gomes 
541160032-00;Luís Otávio N Carvalho
822972987-00;Filipe N Santos
853105999-00;Bruno Z Villani
703146701-00;Luiz Henrique L Furtado 
686254026-00;Lucas Q Maciel
179430926-00;Willian F Velit 
115906655-00;Bruno U Silvino 
470876854-00;Luis Paulo D Rodrigues 
846789395-00;Vinicius J Vasconcelos
306912609-00;Patryck V Massula
743437354-00;Guilherme Henrique L Arruda
505075591-00;Alex S Bertolini
255647947-00;Guilherme Henrique Q Barbosa 
321974072-00;Mariana L Maciel
290681042-00;Guilherme C Massula
536778588-00;Alan Z Pacheco 
841300902-00;Luiz Henrique Z da Silva
443740764-00;Victor Henrique F Freire
523350197-00;Willian W Rodrigues 
743344515-00;Victor Hugo A Vasconcelos
373627945-00;Guilherme M Barros
889136590-00;Daniela B Oliveira
790454597-00;Breno D Rodrigues 
518320697-00;Mariana J Costa
613650479-00;Nicole T Cadar
805589090-00;Ana Luiza B de Paiva
116211226-00;Caio P Abdalla
864443728-00;Joao Victor T Gomes 
186621326-00;Nicole A Miranda
508541286-00;Alexander J de Paiva
786648603-00;Douglas W Miranda
131989804-00;Luis Paulo F Massula
737537993-00;Athos Z Freire
375281286-00;Victor Hugo S Sathler
465374199-00;Isadora W Arruda
431966927-00;Alan Z Santos
227661484-00;Yuske V Heredia 
727482547-00;Luís Otávio S Villani
379746555-00;Filipe R Costa
267556708-00;Bruno C de Castro 
262607251-00;Patryck T Furtado 
682596937-00;Luciano M Pereira
786802775-00;Isadora L Pereira
662331605-00;Guilherme L Candido
131541370-00;Luis Paulo G de Paiva
512126878-00;Luís Otávio I Rodrigues 
667848879-00;Ian Q Costa
628919687-00;Alan B da Silva
836080690-00;Ana Luiza T Diniz
600546332-00;Felipe I Duarte de Carvalho
792533684-00;Caio K de Castro 
868819983-00;Yuske C Cadar
209368287-00;Filipe V Diniz
597870696-00;Athos Z Arruda
411796511-00;Athos X Vasconcelos
163053549-00;Caio U Cadar
759081811-00;Willian X Miranda
625148387-00;Guilherme Henrique K Guimarães
425859632-00;Mariana C Costa
320587368-00;Matheus I Duarte de Carvalho
731547999-00;Alex Z Gabriel
512473778-00;Victor Henrique C da Silva
136887819-00;Ian W de Paula
706259683-00;Mariana S Gomes 
829083039-00;Matheus O Souza 
127931949-00;Isadora C Gabriel
586740280-00;Luís Otávio X Duarte de Carvalho
517657350-00;Luciano B Villani
878103725-00;Ana Luiza Y Massula
594234122-00;Felipe P Souza 
410552512-00;Victor Henrique U Bertolini
219006286-00;Luciano J Villani
849381439-00;Victor Henrique L Velit 
395988631-00;Luís Otávio T Sathler
657549504-00;Daniela F Velit 
352032032-00;Luís Otávio R Costa
653773680-00;Caio I Araujo
805731461-00;Lucas J Barros
826344892-00;Ítalo L Maciel
689119303-00;Ítalo K Maciel
507188265-00;Felipe I Sathler
544051793-00;Pedro P Sathler
511648682-00;Ian Q Vasconcelos
130319623-00;Luiz Henrique A Candido
677136669-00;Douglas C Carvalho
409418206-00;Caio E Carvalho
741434883-00;Mateus E Oliveira
800021978-00;Filipe N Gomes 
441715300-00;Breno F Miranda
347408224-00;Willian Y Oliveira
413082258-00;Breno U Duarte de Carvalho
241045885-00;Norton F Bertolini
433459106-00;Vinicius J Villani
494458412-00;Patryck J Gomes 
165777834-00;Willian I da Silva
414870852-00;Ítalo G Araujo
275100516-00;Lucas P Gomes 
214088806-00;Alex B Barbosa 
713953447-00;Ian E Castilho 
144674669-00;Filipe T Souza 
687439695-00;Vinicius X Pacheco 
742393833-00;Victor Hugo B Velit 
789242368-00;Marcus E Guimarães
699285446-00;Ian Q Castilho 
552576681-00;Luis Paulo S Santos
367932367-00;Douglas Z Silvino 
443273790-00;Wernen M Duarte de Carvalho
180690493-00;Guilherme Henrique Z de Castro 
541907068-00;Nicole M Costa
263114726-00;Guilherme S Heredia 
488583356-00;Lucas D Pacheco 
295264061-00;Willian L Cadar
835087968-00;Norton C Sathler
101600835-00;Joao Victor M Sathler
190622137-00;Guilherme Henrique M de Jesus
739963609-00;Luís Otávio N Magalhães
335025716-00;Bruno Y de Paiva
176359031-00;Ian M Guimarães
696312029-00;Caio U da Silva
704178180-00;Breno G Gomes 
485195719-00;Joao Victor X Cadar
547211368-00;Ian Z Villani
693829560-00;Ian U Magalhães
494005886-00;Alexander N Velit 
538731998-00;Breno N Abdalla
516177006-00;Alex M Maciel
153234821-00;Yuske G Bertolini
269142263-00;Filipe T Diniz
111683438-00;Victor Henrique O Cadar
657138266-00;Victor Henrique R Carvalho
104455813-00;Daniela B Massula
490562833-00;Bruno U Gomes 
678051950-00;Guilherme Henrique Q Miranda
345296474-00;Isadora F Gabriel
778496521-00;Marcus C Duarte de Carvalho
345545802-00;Bruno C Pacheco 
698780646-00;Joao Victor F de Paiva
386547963-00;Norton L de Paula
839444970-00;Vinicius E Barros
540211680-00;Guilherme Henrique A Barbosa 
303105832-00;Yuske K Rodrigues 
332094903-00;Luís Otávio Z Araujo
809117324-00;Pedro U Furtado 
228188070-00;Luciano E Barros
637361436-00;Yuske O Diniz
280961153-00;Ítalo V Bertolini
172116603-00;Vinicius I Sathler
145269657-00;Isadora T Sathler
313338905-00;Yuske B Miranda
221595005-00;Marcus J Araujo
674497404-00;Victor Hugo G Magalhães
778141896-00;Luiz Henrique Y Miranda
181032517-00;Luís Otávio U Candido
372027076-00;Yuske B Freire
537860148-00;Vinicius F Pereira
845185147-00;Ian R Gabriel
708576500-00;Victor Henrique C Duarte de Carvalho
748786304-00;Breno U Maciel
605683324-00;Luís Otávio N Heredia 
778812954-00;Guilherme A Villani
866705622-00;Rafael P Gabriel
191748106-00;Rafael Z de Paiva
834459875-00;Vinicius V Souza 
823445250-00;Luís Otávio T de Jesus
602172990-00;Luciano O Gabriel
573018935-00;Isadora V Arruda
753134584-00;Ian M Miranda
171870312-00;Ian Y Miranda
600120055-00;Ítalo X Furtado 
707537429-00;Vinicius H Arruda
420238160-00;Caio U Villani
120492243-00;Nicole Z Gomes 
786292392-00;Wernen A Rodrigues 
542551607-00;Filipe N Silvino 
637404389-00;Alexander T Oliveira
421566741-00;Alexander Q Bertolini
798647450-00;Alex K Villani
733192471-00;Pedro Y Pereira
253752718-00;Luiz Henrique H Silvino 
432161298-00;Alexander T Rodrigues 
585193927-00;Victor Henrique R Magalhães
616903164-00;Filipe L Souza 
238767187-00;Alexander M Barros
734325121-00;Victor Henrique C Carvalho
116465424-00;Lucas Z Sathler
313398014-00;Caio Q Pacheco 
343637103-00;Willian M Heredia 
112979587-00;Wernen I Diniz
331316780-00;Rafael Q Barros
423392545-00;Yuske C Duarte de Carvalho
177982061-00;Mateus O Barros
320620637-00;Daniela V Vasconcelos
411355645-00;Caio O Arruda
570529786-00;Felipe T Diniz
460235175-00;Lucas V Souza 
525233237-00;Guilherme Henrique T de Paula
764572829-00;Patryck S Arruda
522833104-00;Rodrigo X Vasconcelos
698112325-00;Mariana B Gabriel
176482309-00;Alexander L Costa
271766254-00;Rafael B Furtado 
253239595-00;Filipe I Diniz
857126120-00;Alex V Velit 
666937326-00;Breno I Freire
799052985-00;Bruno R Santos
616746400-00;Nicole N de Castro 
658984108-00;Caio H Guimarães
521120879-00;Matheus R da Silva
662154098-00;Victor Henrique X Magalhães
148950593-00;Willian B Velit 
503408443-00;Mariana R Oliveira
522270130-00;Luciano T Magalhães
875301618-00;Matheus U Heredia 
737067806-00;Filipe N Barros
563809066-00;Victor Hugo O Furtado 
688837327-00;Filipe D Carvalho
733898180-00;Caio Y Gomes 
659148171-00;Patryck U Diniz
662023567-00;Alan G Araujo
674462154-00;Patryck P Arruda
767785455-00;Vinicius F Velit 
593804744-00;Guilherme Q Villani
521567471-00;Daniela U Freire
856744919-00;Bruno G Costa
309078713-00;Caio B Vasconcelos
862958060-00;Alex F de Paula
787229368-00;Ian S Barros
609698356-00;Victor Henrique B Magalhães
573770660-00;Alan L Gomes 
135159723-00;Filipe G Rodrigues 
391607957-00;Luís Otávio A Velit 
733270496-00;Isadora H Vasconcelos
603399100-00;Daniela Y Castilho 
742481589-00;Daniela K Velit 
594058046-00;Luiz Henrique V Gomes 
353713030-00;Alan D Pereira
806464939-00;Rodrigo C Maciel
391768719-00;Victor Henrique X Carvalho
674159494-00;Matheus G Massula
753299419-00;Luís Otávio E Miranda
290103318-00;Wernen M Souza 
814766177-00;Felipe F de Castro 
227238520-00;Caio L Pereira
671684747-00;Patryck W Abdalla
425986536-00;Caio K de Paula
586180397-00;Mariana P Velit 
159305129-00;Yuske D Oliveira
607530232-00;Guilherme U Guimarães
295439273-00;Luís Otávio Q de Paiva
130490802-00;Guilherme D Cadar
319789967-00;Felipe C Araujo
649291243-00;Patryck N Bertolini
854755688-00;Ian H Bertolini
134980763-00;Luís Otávio T Miranda
202347092-00;Douglas P Abdalla
126104422-00;Alexander C de Jesus
177521716-00;Luis Paulo N Castilho 
249580528-00;Luis Paulo M Pacheco 
685877835-00;Guilherme H Barros
473725815-00;Patryck W Bertolini
124895687-00;Bruno Z de Paiva
791839336-00;Luciano Y Carvalho
551101832-00;Lucas H Maciel
794995819-00;Matheus H Villani
390698743-00;Wernen N Santos
285124533-00;Yuske O Pereira
732810878-00;Daniela Q Pereira
558090191-00;Joao Victor I Massula
226320829-00;Felipe N Santos
379931247-00;Athos Y Pacheco 
212967837-00;Rafael X Rodrigues 
281589692-00;Isadora A Costa
304807681-00;Breno J Arruda
227179244-00;Norton I Duarte de Carvalho
873300814-00;Caio U Freire
499608696-00;Luis Paulo Y Candido
195152305-00;Alan B Pereira
746530682-00;Breno U Bertolini
692358768-00;Victor Hugo M Vasconcelos
527492208-00;Alan X Bertolini
526057136-00;Luís Otávio Z Carvalho
800615071-00;Nicole T Silvino 
791479352-00;Pedro X Oliveira
842336816-00;Yuske P Magalhães
705678491-00;Mateus Y Oliveira
785209309-00;Guilherme U Souza 
723106890-00;Ítalo E de Jesus
707591975-00;Matheus T Miranda
435304369-00;Luis Paulo Z Miranda
723864231-00;Lucas I Santos
429712032-00;Marcus H Costa
506761851-00;Luís Otávio G de Paiva
401154465-00;Marcus I Heredia 
860012927-00;Isadora U Villani
199870391-00;Marcus R Magalhães
697025083-00;Yuske O Villani
404271122-00;Matheus D Freire
705562689-00;Wernen R Castilho 
282520489-00;Athos Q Costa
267083355-00;Rodrigo A Candido
128775262-00;Matheus J Guimarães
171515198-00;Luiz Henrique I Rodrigues 
183472493-00;Filipe W Barbosa 
589982147-00;Willian Q Guimarães
220591637-00;Luis Paulo B de Jesus
237636927-00;Rodrigo E Diniz
197193611-00;Breno Q Freire
152357233-00;Filipe T Castilho 
429684924-00;Willian A de Jesus
187296084-00;Luciano T Velit 
763183751-00;Marcus Y Castilho 
808752534-00;Marcus M Arruda
334071786-00;Athos W Silvino 
795200974-00;Alan K Araujo
726155760-00;Mateus T de Paula
879211316-00;Vinicius I da Silva
146856958-00;Filipe I Abdalla
795775151-00;Willian J Carvalho
409750381-00;Willian R Massula
209447082-00;Norton Y de Castro 
281247263-00;Willian T Castilho 
199148834-00;Luiz Henrique H Cadar
327043816-00;Rafael W Santos
472327432-00;Pedro B Gabriel
295500145-00;Alan Q da Silva
165732047-00;Ian Y de Castro 
132464205-00;Norton A Candido
776547000-00;Alexander Z Vasconcelos
303070488-00;Bruno T de Paiva
193585799-00;Joao Victor T Araujo
299019513-00;Nicole F Castilho 
459778941-00;Matheus C de Jesus
479912373-00;Luís Otávio I Cadar
432566651-00;Alan Z Sathler
879311736-00;Daniela Y Diniz
236853416-00;Ana Luiza O Castilho 
182862092-00;Vinicius X de Paula
603252124-00;Ana Luiza D Abdalla
510377671-00;Norton C Bertolini
120112459-00;Ana Luiza J Oliveira
649435993-00;Joao Victor L de Paula
831274938-00;Marcus J Magalhães
627605591-00;Wernen M Araujo
442067595-00;Caio C Furtado 
252971213-00;Alex F Arruda
334627207-00;Mariana Z Maciel
682789155-00;Alan M Duarte de Carvalho
493513589-00;Nicole X Velit 
671812488-00;Bruno N Castilho 
446215757-00;Norton B Silvino 
366931034-00;Matheus E Miranda
318786621-00;Matheus H Souza 
103962737-00;Victor Hugo K Heredia 
604621679-00;Victor Henrique L Carvalho
414727346-00;Norton I de Jesus
681592556-00;Daniela Y Furtado 
460129477-00;Alex V Costa
606097937-00;Wernen T Bertolini
670209899-00;Patryck P Santos
360752308-00;Yuske S Furtado 
256126171-00;Joao Victor A Souza 
312564365-00;Joao Victor U Velit 
299596985-00;Ana Luiza Y Sathler
248325923-00;Luciano C de Castro 
705230058-00;Luís Otávio N Gomes 
806886606-00;Mariana R de Jesus
687826510-00;Norton N Barbosa 
388110189-00;Marcus I Diniz
265963528-00;Alexander E Souza 
598395426-00;Athos T Araujo
742767749-00;Norton Y Guimarães
466534239-00;Ítalo I Miranda
547351449-00;Alexander A de Paiva
477293271-00;Ana Luiza T da Silva
422920797-00;Joao Victor H Santos
810200117-00;Daniela M Vasconcelos
573537787-00;Norton Y Pacheco 
274201535-00;Joao Victor Z Diniz
106833110-00;Guilherme J Heredia 
606904815-00;Luiz Henrique Z Barros
238197077-00;Ítalo Z de Paula
887961020-00;Guilherme Henrique V Heredia 
279374858-00;Alan V Santos
309161553-00;Breno G de Castro 
457775950-00;Breno C Castilho 
157890608-00;Marcus I Villani
380715281-00;Matheus P Rodrigues 
772642838-00;Ítalo W Velit 
810898546-00;Nicole Q Rodrigues 
595790424-00;Pedro P Arruda
609274828-00;Ana Luiza U Freire
339803587-00;Pedro X Silvino 
740985123-00;Patryck T Vasconcelos
427578114-00;Rafael Y Oliveira
600080225-00;Pedro F Massula
257341710-00;Norton O Candido
561803114-00;Wernen A Pacheco 
728983704-00;Douglas K de Paiva
324994144-00;Mariana X Pereira
217935670-00;Isadora K de Paula
718107738-00;Isadora I Cadar
700790349-00;Ítalo L Gomes 
170575886-00;Alex E Gomes 
883459265-00;Victor Henrique X Costa
223405727-00;Wernen C Furtado 
543128074-00;Daniela J Oliveira
248771763-00;Joao Victor B Araujo
246471865-00;Ítalo H de Paiva
143425676-00;Ítalo A Araujo
142080760-00;Norton M Duarte de Carvalho
504550587-00;Joao Victor O Barros
804440833-00;Ítalo N Oliveira
465607843-00;Isadora Y Araujo
136384841-00;Pedro E de Jesus
686967952-00;Luciano X Miranda
417210178-00;Mariana X Souza 
515825735-00;Willian O Gomes 
123926520-00;Mariana I Cadar
867277236-00;Caio D Rodrigues 
486118667-00;Luiz Henrique Y de Paiva
562166331-00;Mariana A Miranda
649193817-00;Alan J Diniz
599250927-00;Alan Q Pereira
311535714-00;Luiz Henrique K Oliveira
163570230-00;Ana Luiza A Santos
184017752-00;Yuske U Villani
452935599-00;Isadora K Gomes 
226814109-00;Marcus G Costa
421332888-00;Isadora P Pacheco 
202626579-00;Luis Paulo Y Maciel
257530950-00;Vinicius X Rodrigues 
886108525-00;Felipe F Arruda
533548202-00;Luís Otávio C Barbosa 
468738346-00;Pedro F Velit 
291244319-00;Ítalo C Freire
426583924-00;Felipe L Barbosa 
868147577-00;Caio O Costa
164166869-00;Victor Henrique G Maciel
340492989-00;Athos P Gabriel
528624311-00;Caio X de Paiva
732593042-00;Isadora B Santos
517245950-00;Daniela V de Jesus
370626267-00;Guilherme U Villani
382612313-00;Ana Luiza M Carvalho
648157366-00;Victor Hugo Z Oliveira
339454652-00;Breno Y de Castro 
670825777-00;Rodrigo I Araujo
161481034-00;Guilherme G de Jesus
100370320-00;Alex B Magalhães
490111203-00;Luís Otávio H Araujo
783600610-00;Filipe V de Paula
337635210-00;Caio M Massula
181273489-00;Felipe V Miranda
761449060-00;Guilherme D de Castro 
349054052-00;Yuske R Costa
317878139-00;Victor Henrique H Heredia 
485867675-00;Luís Otávio X da Silva
686426052-00;Wernen E Silvino 
301538941-00;Bruno I Araujo
745488139-00;Ítalo G Rodrigues 
459928057-00;Vinicius G Barbosa 
796672505-00;Mateus J Barbosa 
425182328-00;Ítalo R Silvino 
546169400-00;Victor Henrique C Santos
594533569-00;Joao Victor H Villani
686610654-00;Willian X da Silva
559952849-00;Caio O Souza 
661627977-00;Bruno D Carvalho
554173118-00;Rodrigo X Gabriel
268476493-00;Marcus K Souza 
127670064-00;Guilherme R Pereira
680453253-00;Guilherme V Freire
829583442-00;Joao Victor A Costa
643232198-00;Wernen P Villani
183926361-00;Breno Q Sathler
131191199-00;Alexander L de Paiva
829280255-00;Luciano A Cadar
132265179-00;Caio B Barbosa 
481867302-00;Marcus C de Castro 
485206850-00;Alexander J Barbosa 
609729431-00;Felipe L Castilho 
157620136-00;Luiz Henrique P Castilho 
671732448-00;Alexander H Miranda
143215941-00;Wernen K Sathler
107668127-00;Isadora A Guimarães
440342918-00;Guilherme X Pereira
490059409-00;Yuske Z Santos
428501253-00;Victor Henrique F da Silva
697465604-00;Matheus U de Castro 
146367836-00;Rodrigo U Costa
354443355-00;Nicole G Souza 
198819574-00;Ian J Santos
853475269-00;Alexander S Bertolini
806516915-00;Nicole G Magalhães
434721340-00;Douglas E Carvalho
424696912-00;Douglas L Bertolini
239064783-00;Pedro E Bertolini
770117294-00;Joao Victor B Maciel
775949358-00;Douglas W Heredia 
126387945-00;Wernen C Magalhães
600659307-00;Norton K Carvalho
329684772-00;Luiz Henrique J Vasconcelos
255203702-00;Rodrigo X Velit 
759008078-00;Rodrigo G de Jesus
227624716-00;Matheus N Maciel
686083266-00;Alan A de Paiva
590013945-00;Alexander K Candido
427409467-00;Rodrigo Q Massula
688862146-00;Isadora K Arruda
539495615-00;Willian H Pereira
682527463-00;Rodrigo W Magalhães
236923067-00;Athos E Gabriel
264100767-00;Athos S Barros
356795622-00;Marcus Z Heredia 
260574610-00;Lucas S Costa
192029086-00;Breno P Villani
703407713-00;Breno D de Castro 
699396510-00;Vinicius Z de Paiva
327434624-00;Bruno D de Paula
768313637-00;Daniela R Miranda
